Protein,Len,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,LogFoldChange,Zstatistic
lcl|c218580_g2_i1|m.5839,166,2,2,2,1,1,3,1,0,2,1,3,2,1,3,2,1,2,0,1,0,0.086,0.2449
lcl|c218603_g6_i5|m.5857,452,0,0,1,0,2,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0,-0.371,-0.9303
lcl|c218647_g3_i1|m.5884,357,2,2,5,4,1,0,2,6,0,3,3,6,0,4,1,2,3,2,1,3,-0.04,-0.1428
lcl|c218696_g8_i2|m.5906,146,0,26,0,14,4,14,12,0,13,12,0,0,0,8,4,17,12,15,10,10,-0.221,-1.4833
lcl|c218703_g1_i4|m.5907,130,8,4,3,4,7,6,3,7,4,6,3,0,1,1,0,0,0,0,1,2,-1.4,-4.5164
lcl|c218706_g7_i3|m.5908,289,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.187,-0.4327
lcl|c218722_g1_i2|m.5914,267,8,4,7,4,3,2,3,3,0,4,1,2,4,1,1,2,1,3,2,3,-0.683,-2.4266
lcl|c218730_g2_i11|m.5922,225,6,0,17,0,5,24,30,0,0,6,17,0,7,5,6,0,44,0,88,0,0.612,4.6617
lcl|c218748_g1_i1|m.5931,114,4,2,5,4,3,4,3,5,2,6,7,2,3,4,2,2,2,2,3,2,-0.26,-1.0031
lcl|c218755_g2_i2|m.5948,292,5,4,1,1,2,2,2,3,1,1,0,0,1,0,0,0,0,0,0,0,-0.821,-2.1426
lcl|c218820_g4_i2|m.5974,322,5,3,2,0,1,2,2,1,3,2,1,0,0,0,0,0,0,0,1,0,-0.798,-2.1618
lcl|c218842_g3_i2|m.5986,369,6,5,6,7,6,7,8,5,4,7,8,6,8,10,8,5,11,3,17,6,0.307,1.7108
lcl|c218842_g3_i2|m.5987,117,2,2,7,6,8,5,3,4,2,7,6,8,3,10,6,8,6,2,5,2,0.205,1.017
lcl|c218852_g5_i3|m.5993,240,3,2,2,3,4,3,2,5,0,9,2,3,2,5,2,2,1,0,2,2,-0.427,-1.5261
lcl|c218872_g2_i3|m.6012,254,8,6,7,7,10,6,7,5,3,5,11,12,9,9,11,13,8,5,3,7,0.336,1.915
lcl|c218881_g3_i2|m.6022,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.0171
lcl|c218903_g1_i1|m.6054,394,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.027,-0.0597
lcl|c218968_g13_i5|m.6107,382,0,0,1,0,0,0,1,0,0,1,0,2,0,1,6,2,5,3,3,0,0.927,2.4604
lcl|c218972_g2_i1|m.6108,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-0.05
lcl|c219090_g4_i2|m.6185,192,1,1,0,1,2,2,1,1,0,2,4,4,3,6,1,3,2,4,2,4,0.965,2.8563
lcl|c219160_g4_i1|m.6235,367,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.04,0.0854
lcl|c219163_g1_i3|m.6242,210,1,0,2,1,2,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,-0.1,-0.2361
lcl|c219184_g1_i2|m.6256,101,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.001,-0.0024
lcl|c219184_g2_i2|m.6257,146,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.027,-0.0598
lcl|c219187_g1_i1|m.6258,377,1,0,0,0,0,0,0,0,1,0,1,3,2,1,1,1,0,0,0,0,0.288,0.6805
lcl|c219220_g4_i4|m.6283,542,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-0.012,-0.0262
lcl|c219237_g2_i4|m.6297,449,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.005,0.0105
lcl|c219274_g1_i6|m.6313,198,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0005
lcl|c219327_g1_i2|m.6330,217,2,2,1,3,2,3,2,3,2,2,2,1,2,2,1,1,2,1,1,1,-0.501,-1.4788
lcl|c219433_g1_i1|m.6376,397,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.004,-0.0088
lcl|c219457_g2_i7|m.6385,322,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0098
lcl|c219462_g5_i7|m.6389,243,0,1,1,0,1,0,3,1,1,0,1,2,2,2,0,0,0,1,0,0,0.107,0.2641
lcl|c219473_g3_i1|m.6396,959,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.017,-0.0392
lcl|c219485_g5_i3|m.6399,204,0,0,1,1,2,1,1,2,0,0,1,1,0,1,1,0,1,1,1,1,-0.194,-0.4506
lcl|c219495_g3_i10|m.6406,371,1,1,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,-0.229,-0.5073
lcl|c219506_g5_i1|m.6423,245,15,11,12,8,12,7,5,12,5,8,2,4,6,7,5,4,5,5,4,5,-0.694,-3.9511
lcl|c219546_g2_i1|m.6439,265,22,12,21,13,21,18,15,19,9,18,11,7,7,10,7,7,6,7,8,7,-0.788,-5.7005
lcl|c219556_g4_i5|m.6447,320,3,2,1,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,-0.506,-1.2275
lcl|c219563_g5_i1|m.6455,161,2,3,2,2,2,2,2,2,1,2,1,2,2,3,1,0,0,3,0,0,-0.207,-0.6401
lcl|c219564_g8_i2|m.6456,156,1,0,4,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.466,-1.1111
lcl|c219583_g2_i1|m.6468,249,4,5,2,2,2,2,5,2,2,1,0,3,3,1,1,1,2,3,3,4,-0.214,-0.7465
lcl|c219601_g1_i1|m.6471,429,18,19,20,23,18,19,16,27,20,29,16,21,14,18,15,16,15,15,12,18,-0.276,-2.7578
lcl|c219632_g2_i1|m.6493,441,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.011,-0.0233
lcl|c219636_g2_i1|m.6494,168,0,2,3,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,1,0,-0.504,-1.2124
lcl|c219636_g2_i3|m.6495,144,2,2,6,5,4,1,2,2,2,2,2,2,0,1,2,2,2,1,1,0,-0.647,-2.0769
lcl|c219662_g1_i2|m.6507,250,32,28,22,32,25,26,29,28,18,26,21,27,22,26,20,18,19,16,17,17,-0.267,-2.9116
lcl|c219703_g2_i4|m.6532,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.027,0.0601
lcl|c219710_g2_i1|m.6538,329,8,4,5,9,12,7,11,9,5,5,3,4,4,0,4,5,3,2,3,3,-0.862,-4.1761
lcl|c219733_g1_i1|m.6543,217,2,0,1,0,0,0,1,0,0,0,5,3,4,2,3,4,3,4,6,3,1.225,3.794
lcl|c219733_g1_i5|m.6547,208,2,0,1,0,0,1,1,0,0,0,11,7,6,2,4,7,5,7,8,4,1.74,5.5188
lcl|c219759_g3_i3|m.6556,148,0,0,2,1,3,0,1,1,1,2,4,3,1,3,2,1,2,1,3,3,0.516,1.4161
lcl|c219761_g2_i13|m.6559,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.022,-0.0462
lcl|c219763_g5_i3|m.6564,216,1,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.202,-0.4805
lcl|c219817_g1_i3|m.6593,509,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.03,-0.0623
lcl|c219828_g4_i5|m.6597,249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.005,0.0121
lcl|c219829_g2_i1|m.6600,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.0026
lcl|c219842_g1_i1|m.6611,344,2,1,0,2,1,2,2,1,1,1,0,2,2,0,0,0,2,1,3,0,0.052,0.1429
lcl|c219870_g5_i1|m.6620,116,1,4,1,4,2,3,2,2,4,4,5,0,1,4,2,1,1,2,1,2,-0.313,-0.9852
lcl|c219883_g1_i2|m.6624,445,40,35,35,41,50,42,37,42,35,55,38,19,24,27,25,19,21,15,23,25,-0.563,-7.1484
lcl|c219885_g1_i1|m.6625,348,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.016,0.0348
lcl|c219901_g4_i1|m.6631,347,0,0,1,1,1,0,1,0,0,0,0,3,1,0,3,1,2,1,2,1,0.473,1.1017
lcl|c219950_g4_i1|m.6653,411,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.0352
lcl|c219953_g4_i2|m.6660,228,3,4,2,3,2,2,3,2,1,2,0,2,2,2,0,0,0,2,1,0,-0.535,-1.5453
lcl|c220008_g2_i5|m.6705,174,0,0,2,1,2,1,0,2,1,2,2,1,1,2,2,2,2,2,1,1,0.148,0.3886
lcl|c220011_g4_i9|m.6707,263,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,0.076,0.1684
lcl|c220050_g2_i1|m.6739,258,1,1,0,0,2,2,0,0,0,0,0,1,1,2,1,1,1,2,1,2,0.053,0.1281
lcl|c220102_g3_i2|m.6750,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.0036
lcl|c220103_g1_i1|m.6751,446,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,1,1,1,0,-0.096,-0.2067
lcl|c220106_g1_i3|m.6753,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-0.0352
lcl|c220191_g1_i1|m.6799,459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.0492
lcl|c220226_g2_i9|m.6827,984,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.0631
lcl|c220230_g1_i10|m.6831,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0.189,0.4223
lcl|c220236_g4_i1|m.6833,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-0.0419
lcl|c220252_g1_i3|m.6839,322,4,0,3,2,4,1,3,3,1,1,3,0,0,0,0,1,1,0,1,1,-0.663,-1.7554
lcl|c220263_g1_i4|m.6846,285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.009,0.0185
lcl|c220300_g3_i1|m.6859,160,22,17,13,18,17,15,16,18,6,14,11,15,10,12,11,8,8,4,7,6,-0.542,-4.0718
lcl|c220306_g1_i5|m.6860,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0303
lcl|c220319_g5_i1|m.6862,361,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.003,0.0073
lcl|c220360_g1_i11|m.6899,305,0,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,-0.057,-0.1224
lcl|c220409_g3_i1|m.6925,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,-0.0262
lcl|c220432_g5_i2|m.6941,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.0422
lcl|c220464_g2_i2|m.6955,118,2,2,1,2,1,1,1,1,0,3,0,0,0,0,1,1,2,1,0,1,-0.343,-0.8471
lcl|c220475_g1_i1|m.6962,433,5,2,2,3,3,2,2,1,0,3,2,1,3,2,0,1,0,0,0,1,-0.559,-1.5415
lcl|c220485_g3_i1|m.6974,107,0,0,0,0,0,0,0,6,0,4,0,5,0,4,0,0,0,0,0,0,-0.039,-0.1101
lcl|c220575_g2_i3|m.7010,119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0021
lcl|c220622_g1_i1|m.7032,311,11,15,15,17,15,9,12,10,12,10,12,14,8,8,13,13,14,11,13,11,-0.077,-0.6066
lcl|c220637_g4_i1|m.7052,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.0154
lcl|c220638_g5_i1|m.7054,125,0,0,2,1,2,1,1,1,0,3,1,0,0,0,0,2,0,0,0,0,-0.257,-0.6393
lcl|c220639_g4_i8|m.7062,350,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.011,-0.0219
lcl|c220640_g5_i2|m.7065,483,13,13,14,15,16,10,12,17,13,21,14,16,18,13,21,9,8,8,9,10,-0.131,-1.0134
lcl|c220657_g1_i4|m.7075,363,1,1,1,1,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,-0.266,-0.6176
lcl|c220672_g1_i2|m.7082,394,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0547
lcl|c220695_g1_i1|m.7091,652,1,1,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-0.143,-0.3401
lcl|c220736_g3_i1|m.7111,208,5,5,5,4,5,4,5,4,5,5,3,3,6,5,3,2,3,6,2,3,-0.277,-1.1894
lcl|c220748_g5_i2|m.7116,472,14,15,17,23,19,10,9,15,10,14,15,17,10,17,12,10,5,4,9,11,-0.291,-2.3457
lcl|c220806_g2_i3|m.7164,184,4,5,6,8,8,8,11,11,5,6,6,5,5,6,4,5,5,3,7,4,-0.356,-1.8646
lcl|c220808_g2_i3|m.7169,496,2,2,5,2,4,1,3,3,1,3,4,0,0,2,1,0,1,0,1,1,-0.64,-1.8857
lcl|c220831_g1_i1|m.7185,356,2,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.275,-0.6397
lcl|c220834_g8_i2|m.7193,216,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.094,-0.2175
lcl|c220845_g6_i1|m.7197,209,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,-0.092,-0.2064
lcl|c220863_g2_i3|m.7207,295,1,0,0,1,0,1,2,1,1,0,0,0,1,1,1,1,0,0,0,0,-0.068,-0.1522
lcl|c220897_g5_i4|m.7224,196,1,2,1,1,1,1,2,2,1,2,0,0,1,0,1,0,2,0,1,0,-0.253,-0.6105
lcl|c220923_g2_i4|m.7240,887,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.188,-0.4492
lcl|c220936_g1_i1|m.7247,118,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.003,0.0058
lcl|c220937_g5_i7|m.7248,281,2,1,1,1,0,2,1,2,1,0,1,0,2,1,1,1,1,0,2,1,-0.114,-0.269
lcl|c220945_g4_i2|m.7256,501,3,1,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.366,-0.893
lcl|c220954_g1_i2|m.7267,290,5,29,11,23,19,47,107,16,16,15,34,22,6,14,30,39,55,17,187,20,0.382,5.1199
lcl|c220963_g1_i1|m.7276,189,2,2,2,3,4,1,3,5,1,3,0,2,0,0,0,1,0,0,0,0,-0.889,-2.3908
lcl|c220977_g2_i3|m.7288,378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0117
lcl|c221008_g1_i2|m.7320,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-0.0124
lcl|c221031_g2_i1|m.7336,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.011,-0.023
lcl|c221037_g1_i2|m.7337,518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053,-0.1168
lcl|c221039_g1_i2|m.7339,216,4,5,6,7,5,4,4,8,3,6,4,3,2,4,4,4,4,3,1,3,-0.491,-2.1804
lcl|c221039_g3_i2|m.7343,241,0,0,1,0,1,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,-0.007,-0.0162
lcl|c221061_g4_i1|m.7355,581,1,0,3,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,-0.179,-0.4057
lcl|c221077_g1_i1|m.7374,256,2,0,4,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,-0.544,-1.2864
lcl|c221101_g1_i2|m.7397,354,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0.001,0.0031
lcl|c221114_g2_i1|m.7405,169,4,0,4,1,4,2,1,5,4,3,2,1,0,1,0,1,0,0,0,0,-0.989,-2.6089
lcl|c221130_g3_i2|m.7408,117,1,4,4,3,3,3,2,4,3,4,0,1,1,0,1,1,1,1,0,0,-1.155,-3.213
lcl|c221189_g3_i1|m.7459,154,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.004,0.0088
lcl|c221194_g2_i1|m.7463,565,0,1,1,2,0,2,3,1,1,2,1,0,0,0,0,0,0,1,0,1,-0.418,-1.0013
lcl|c221198_g6_i3|m.7467,335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.019,0.042
lcl|c221205_g1_i1|m.7472,112,1,0,1,0,2,1,1,2,0,2,0,0,0,1,1,1,0,0,0,0,-0.262,-0.6308
lcl|c221225_g1_i1|m.7492,247,8,7,11,9,7,6,6,7,4,11,7,9,8,7,4,8,3,3,5,4,-0.273,-1.5761
lcl|c221238_g1_i4|m.7502,121,5,4,3,4,6,6,4,3,3,3,7,5,5,3,4,5,9,5,7,6,0.333,1.6862
lcl|c221244_g1_i4|m.7506,140,1,0,0,0,1,1,0,0,0,1,1,0,1,2,1,0,1,0,0,0,0.072,0.1558
lcl|c221246_g1_i2|m.7509,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.005,-0.01
lcl|c221253_g7_i1|m.7518,403,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0.108,0.2392
lcl|c221281_g1_i1|m.7530,260,3,1,0,1,1,0,2,0,1,1,2,1,1,0,1,2,2,2,1,1,0.042,0.1061
lcl|c221281_g1_i1|m.7531,183,5,2,3,4,4,5,2,5,1,3,3,4,1,7,5,4,0,3,1,3,-0.073,-0.2996
lcl|c221296_g1_i3|m.7550,157,17,15,11,12,10,13,16,10,8,12,12,9,14,19,17,13,8,9,18,12,0.043,0.3419
lcl|c221337_g4_i1|m.7577,447,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-0.1018
lcl|c221340_g4_i1|m.7579,515,6,3,3,2,2,4,3,2,1,3,2,1,1,1,0,0,1,1,1,1,-0.996,-2.7685
lcl|c221356_g3_i2|m.7588,707,9,3,9,3,10,3,14,13,1,10,3,5,2,4,4,2,0,2,3,1,-1.043,-4.6475
lcl|c221374_g4_i3|m.7595,283,1,2,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0.011,0.0259
lcl|c221427_g1_i4|m.7617,479,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-0.087,-0.1899
lcl|c221440_g2_i5|m.7632,362,2,3,2,2,2,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,-0.452,-1.1818
lcl|c221441_g1_i5|m.7633,559,2,4,2,5,5,3,2,3,3,3,2,2,2,2,2,7,2,1,4,3,-0.165,-0.6386
lcl|c221444_g1_i1|m.7638,398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-0.0106
lcl|c221450_g9_i6|m.7639,488,1,0,2,1,1,1,1,1,0,1,1,3,0,1,2,0,1,1,1,1,0.171,0.4192
lcl|c221461_g2_i7|m.7655,295,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.019,-0.0405
lcl|c221482_g1_i3|m.7664,468,1,1,2,1,1,2,1,3,2,1,2,0,0,0,0,1,0,1,1,1,-0.316,-0.7514
lcl|c221495_g1_i4|m.7674,312,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.0474
lcl|c221497_g1_i2|m.7677,265,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,1,0,0,0,0,0.087,0.2008
lcl|c221514_g6_i1|m.7698,249,0,1,1,1,2,0,2,1,2,1,0,0,0,1,0,1,1,0,0,0,-0.28,-0.6525
lcl|c221524_g4_i2|m.7708,280,0,0,18,0,0,19,0,1,0,9,25,1,0,14,1,0,11,0,0,0,0.075,0.3888
lcl|c221524_g4_i5|m.7709,330,0,0,8,0,0,10,0,1,0,7,8,1,0,9,1,0,6,0,0,0,-0.081,-0.3248
lcl|c221583_g3_i2|m.7741,426,13,10,9,7,15,11,8,15,4,15,9,7,7,9,9,6,4,5,10,5,-0.419,-2.8217
lcl|c221586_g4_i2|m.7745,286,3,4,5,4,5,3,4,3,1,2,2,1,1,1,2,2,1,1,1,1,-1.003,-3.035
lcl|c221593_g3_i1|m.7753,194,7,8,9,9,9,6,6,7,7,5,6,6,5,9,8,7,7,4,7,6,-0.126,-0.7594
lcl|c221608_g1_i1|m.7755,596,8,3,8,8,6,2,3,3,2,4,5,13,10,13,9,9,3,5,2,4,0.462,2.3441
lcl|c221613_g3_i1|m.7758,257,0,3,1,1,0,1,0,0,0,1,0,3,1,3,1,1,0,0,2,3,0.377,0.9763
lcl|c221619_g2_i1|m.7763,143,4,2,5,5,2,1,5,5,1,2,2,1,1,1,2,3,1,0,3,1,-0.702,-2.224
lcl|c221649_g6_i2|m.7773,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.017,-0.0344
lcl|c221662_g2_i4|m.7775,226,3,3,4,4,4,5,6,4,6,2,6,3,5,4,4,6,5,7,5,2,0.14,0.6696
lcl|c221666_g1_i3|m.7779,150,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,0,3,1,3,1,0.556,1.338
lcl|c221672_g4_i6|m.7784,412,2,1,0,0,2,0,1,2,0,3,0,0,1,0,1,0,0,0,1,0,-0.439,-1.0594
lcl|c221676_g4_i4|m.7786,321,8,9,15,7,8,5,6,8,8,7,3,4,3,5,5,4,3,6,6,5,-0.614,-3.2226
lcl|c221694_g2_i1|m.7797,309,0,0,0,0,1,0,0,0,0,0,0,3,2,4,2,3,1,0,0,0,0.678,1.6587
lcl|c221736_g1_i11|m.7820,145,8,10,3,10,9,4,6,5,9,14,4,2,2,6,7,3,2,1,3,4,-0.849,-4.1714
lcl|c221753_g3_i7|m.7844,359,7,7,4,8,5,7,9,10,6,12,3,0,4,3,3,0,3,1,4,4,-1.013,-4.4005
lcl|c221774_g2_i1|m.7854,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.0611
lcl|c221802_g2_i1|m.7868,342,1,1,2,1,0,1,0,0,0,1,0,2,1,2,1,1,0,0,0,1,0.091,0.2136
lcl|c221840_g3_i2|m.7908,461,3,2,2,3,3,2,1,0,1,0,0,0,1,2,1,1,1,2,0,1,-0.484,-1.2899
lcl|c221840_g3_i5|m.7911,286,3,2,2,4,2,1,2,0,0,0,0,0,0,2,1,0,1,1,1,0,-0.562,-1.462
lcl|c221844_g2_i1|m.7916,122,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0.065,0.1459
lcl|c221849_g1_i2|m.7917,214,0,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,0,0,1,-0.361,-0.8715
lcl|c221855_g2_i3|m.7925,314,3,5,5,4,6,3,3,3,1,3,2,1,1,1,2,1,1,1,4,3,-0.754,-2.7239
lcl|c221860_g1_i4|m.7929,195,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.017,-0.0368
lcl|c221883_g2_i12|m.7953,683,17,8,13,8,24,14,9,9,5,12,29,18,19,18,23,13,13,17,22,24,0.508,4.608
lcl|c221890_g1_i1|m.7971,375,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054,-0.1172
lcl|c221925_g1_i3|m.7988,563,41,32,43,46,56,40,52,51,29,48,31,30,25,28,28,31,19,20,26,17,-0.548,-7.0835
lcl|c221967_g2_i3|m.8016,272,0,0,2,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,1,-0.081,-0.1988
lcl|c221968_g1_i1|m.8017,625,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0.0634
lcl|c221971_g3_i2|m.8022,412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024,-0.0539
lcl|c221999_g1_i4|m.8036,613,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-0.0962
lcl|c222028_g1_i5|m.8060,658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-0.0617
lcl|c222067_g2_i1|m.8074,416,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.031,-0.0687
lcl|c222117_g4_i1|m.8104,330,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.103,-0.2384
lcl|c222123_g3_i1|m.8109,442,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.108,-0.2339
lcl|c222128_g1_i1|m.8114,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.0526
lcl|c222140_g4_i1|m.8123,1085,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.041,0.0879
lcl|c222155_g2_i2|m.8140,158,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,0,0,3,1,0,0.642,1.5908
lcl|c222186_g2_i2|m.8151,221,3,6,4,2,2,3,3,5,3,7,3,2,3,2,1,2,2,4,3,2,-0.453,-1.763
lcl|c222187_g6_i1|m.8152,419,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008,-0.0173
lcl|c222196_g3_i1|m.8162,140,2,1,2,0,0,1,1,2,0,2,1,1,1,1,0,0,1,0,0,1,-0.347,-0.8134
lcl|c222197_g1_i5|m.8163,375,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.113,-0.244
lcl|c222200_g1_i1|m.8165,150,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.03,0.0667
lcl|c222208_g5_i7|m.8170,516,2,0,2,2,2,2,2,2,0,1,1,1,3,2,2,5,1,2,1,2,0.182,0.5768
lcl|c222210_g1_i4|m.8175,409,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.009,0.021
lcl|c222225_g1_i1|m.8189,377,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.069,-0.1529
lcl|c222259_g2_i10|m.8212,511,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0.112,0.25
lcl|c222286_g2_i1|m.8232,302,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.094,-0.2069
lcl|c222306_g8_i4|m.8236,192,7,11,9,8,13,9,11,13,6,6,4,2,2,1,1,4,2,0,4,4,-1.327,-5.7683
lcl|c222306_g9_i1|m.8237,246,12,4,2,2,7,6,1,8,5,10,3,5,7,7,4,3,3,3,5,2,-0.291,-1.3374
